Image Name,Primary Theme,Updated Font Recommendation,Alignment
yae-miko-among-the-sakura,Traditional / Graceful,Ming_Imperial_600,Left
rocks-glow-with-autumn-fire,Retro Adventure,PixelOperator8,Middle
landscape-sea-ships,Epic / Classic,Ming_Imperial_600,Middle
dragon-bride,Dark / Traditional,Ujiro-drJJl,Left
2b-midnight-bloom,Android / Digital,Doto-Regular,Left
under-the-dragons-gaze,Ancient Myth,Ujiro-drJJl,Right
samurai-near-the-tree,Ink Silhouette,Ujiro-drJJl,Left
mountain-horizon,Retro RPG,PressStart2P-Regular,Middle
lucy-digital-shadows,Cyberpunk,Doto-Bold,Right
golden-hour-silence,Nostalgic Journey,PixelOperator,Middle
vi-and-powder,Industrial / Gritty,Doto-Black,Middle
torn-mask-of-fate,Aggressive / Broken,Ujiro-drJJl,Right
moonlight-seascape,Serene Elegance,MeaCulpa-Regular,Right
crimson-moon-mountain,Supernatural Horror,Creepster-Regular,Left
castle-beyond-the-clouds,High Fantasy,Ming_Imperial_600,Middle
under-the-cherry-tree,Poetic Wanderer,HomemadeApple-Regular,Right
japans-majestic-peaks,Classical Japan,Ming_Imperial_600,Left
fantasy-flute-sunset,Musical / Whimsical,MeaCulpa-Regular,Right
blind-dragon,Mythic / Ancient,Ujiro-drJJl,Right
tranquil-japan-lake,Zen Architecture,Ming_Imperial_600,Middle
dawn-wanderer,Heroic Start,Silkscreen-Bold,Middle
black-hole-in-nebula,Sci-Fi HUD,Doto-Thin,Left
evening-drive-windmills,Lo-Fi / Chill,VT323-Regular,Left
anime-train-at-sunset,Nostalgic Retro,PixelOperator,Left
samurai-spirit-moon,Sharp Ink,Ujiro-drJJl,Left
japanese-spring,Traditional Landmark,Ming_Imperial_600,Right
evelyn,Neon / Glamour,Monoton-Regular,Right
anime-boy-and-dragon,Quest / Shonen,Silkscreen-Regular,Right
